"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"2935",5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
"3783",7.6,0.27,0.3,9.2,0.018,23,96,0.9938,3.08,0.29,11,6
"3069",6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,6
"1823",8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7
"1347",7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,7
"64",6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
"1430",6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
"3061",6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
"2316",7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6
"1244",7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7
"741",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
"600",6.9,0.19,0.4,1.4,0.036,14,55,0.9909,3.08,0.68,11.5,7
"4619",6.1,0.44,0.28,4.25,0.032,43,132,0.9916,3.26,0.47,11.3,7
"199",7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
"1582",9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
"4534",6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,5
"2422",6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5
"922",7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6
"4415",7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7
"2291",7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
"2505",8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6
"966",8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
"1753",6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,6
"188",5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5
"3403",7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,6
"3433",7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,5
"4064",6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5
"1621",7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
"284",6.7,0.34,0.3,15.6,0.054,51,196,0.9982,3.19,0.49,9.3,5
"2605",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
"4548",5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6
"1699",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"1865",7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6
"3908",6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7
"432",6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
"1539",6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6
"1038",7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
"4724",6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,6
"2869",6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5
"2885",7,0.28,0.32,7.75,0.032,30,114,0.99158,3.12,0.64,12.8,7
"1276",6.2,0.22,0.27,1.5,0.064,20,132,0.9938,3.22,0.46,9.2,6
"1080",6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,6
"1745",6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5
"2158",8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
"2245",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
"121",5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5
"1219",7.2,0.26,0.44,7.1,0.027,25,126,0.993,3.02,0.34,11.1,8
"2784",7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
"892",5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
"83",7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5
"3866",6,0.31,0.38,4.8,0.04,41,101,0.98968,3.24,0.56,13.1,6
"127",7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5
"150",6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
