ParasiteCheckedBinomial,Par.Phylum,Par.Class,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,egg.size.min,egg.size.max
Acanthocheilonema dracunculoides,Nematoda,Chromadorea,15,60,100,300,15,31,100,200,32,60,200,300,NA,NA
Acanthocheilonema odendhali,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocheilonema procyonis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthocheilonema reconditum,Nematoda,Chromadorea,9,32,92,180,9,17,92,106,20,32,146,180,NA,NA
Acanthocheilonema spirocauda,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aelurostrongylus abstrusus,Nematoda,Chromadorea,4,10,54,80,4,6,54,64,9,10,80,80,60,85
Aelurostrongylus falciformis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aelurostrongylus pridhami,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriostomum cursoni,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriostomum equidentatum,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriostomum gorgonis,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaria alata,Platyhelminthes,Trematoda,2.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,125
Alaria americana,Platyhelminthes,Trematoda,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,143
Alaria arisaemoides,Platyhelminthes,Trematoda,7,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,125
Alaria canis,Platyhelminthes,Trematoda,2.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,116
Alaria marcianae,Platyhelminthes,Trematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaria mustelae,Platyhelminthes,Trematoda,0.82,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,125
Alaria taxideae,Platyhelminthes,Trematoda,1.1,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,143
Amoebotaenia paradoxa,Platyhelminthes,Cestoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancylostoma braziliense,Nematoda,Chromadorea,5.07,10.6,190,320,5.07,7.5,190,270,6.5,10.6,220,320,75,95
Ancylostoma caninum,Nematoda,Chromadorea,11,20.5,340,570,11,13,340,390,14,20.5,500,570,34,55
Ancylostoma kusimaense,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ancylostoma martinezi,Nematoda,Chromadorea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
